,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,Desktop,"Desktop, Mobile",Mobile,"Mobile, Workstation",Unknown,Workstation
1432,GeForce GT 420M,418,83,129.90849999999995,3.0481999999999996,23.0,18.19,2010,0,0,1,0,0,0
1433,Radeon R5 M320,418,137,384.9406000000001,1.0132000000000005,34.97,22.765599999999996,2015,0,0,0,0,1,0
1434,Radeon HD 6550D,417,149,192.10390000000007,2.2494000000000014,100.0,4.17,2011,1,0,0,0,0,0
1435,Radeon HD 8610G,414,121,339.3517000000003,1.3501000000000005,31.53,16.2342,2013,0,0,0,0,1,0
1436,GeForce GTX 260M,412,59,145.55299999999988,2.7952000000000004,65.0,6.34,2012,0,0,1,0,0,0
1437,GeForce GT 420,411,187,155.0,2.65,50.0,8.22,2010,1,0,0,0,0,0
1438,Radeon HD 3850,410,43,408.0543999999999,0.9365000000000008,75.0,5.47,2011,1,0,0,0,0,0
1439,GeForce GTS 350M,408,113,169.88019999999995,2.4377000000000018,28.0,14.56,2010,0,0,1,0,0,0
1440,Radeon HD 7470M,408,393,494.56679999999983,0.8141000000000007,7.0,58.24,2012,0,0,1,0,0,0
1441,Radeon HD 7640G + HD 7600M N HD 7600M Dual,407,198,232.0741000000001,1.8880000000000001,24.275,19.3652,2013,0,0,0,0,1,0
1442,FirePro M2000,406,206,168.40789999999998,2.5207,33.01,11.585,2012,0,0,0,0,0,1
1443,Radeon HD 7600G + 7500M/7600M Dual,406,210,213.06040000000013,1.9222000000000004,24.945,18.080599999999993,2013,0,0,0,0,1,0
1444,Quadro FX 1800,405,90,135.0,3.0,59.0,6.87,2009,0,0,0,0,0,1
1445,RADEON E4690,405,347,189.70470000000006,2.2635000000000014,58.231,7.165999999999996,2011,0,0,0,0,1,0
1446,Radeon HD 8550G,403,116,345.06280000000027,1.3405000000000005,33.12,15.243999999999996,2013,0,0,0,0,1,0
1447,GeForce 810M,402,71,225.29390000000004,1.9765000000000004,35.63,14.165699999999998,2014,0,0,0,0,1,0
1448,Mobility Radeon HD 4650,401,320,292.6289000000003,1.5907000000000011,73.81,5.4421,2009,0,0,1,0,0,0
1449,GeForce GT 335M,400,49,196.9778999999999,2.2851000000000017,28.0,14.28,2010,0,0,1,0,0,0
1450,Radeon HD 8500M,397,115,373.3325000000002,1.1801000000000004,30.53,23.38919999999998,2015,0,0,0,0,1,0
1451,Radeon R5 Opteron X3216,394,182,304.9222000000001,1.4167000000000005,32.2,26.28379999999996,2017,0,0,0,0,1,0
1452,Radeon R5 M230,391,139,307.7734,1.3679000000000006,39.99,14.615200000000002,2014,0,0,1,0,0,0
1453,Radeon HD 7600G + 7450M Dual,390,221,212.40110000000007,1.8538000000000006,25.915,17.99609999999999,2013,0,0,0,0,1,0
1454,IncrediblE HD,389,427,251.7610000000003,1.7960000000000005,23.72,34.178599999999975,2016,0,0,0,0,1,0
1455,Intel HD 5300,389,186,295.2,1.555,29.45,15.452000000000004,2014,0,0,0,0,1,0
1456,GeForce 7900 GTX,388,165,277.9861000000001,1.5952000000000006,76.78,4.982200000000005,2009,1,0,0,0,0,0
1457,Quadro FX 3700,384,158,213.27,1.8,78.0,4.93,2010,0,0,0,0,0,1
1458,Radeon HD 4670,384,50,142.96,2.69,59.0,6.51,2012,1,0,0,0,0,0
1459,Radeon HD 5550,383,187,54.99,6.97,39.0,9.83,2010,1,0,0,0,0,0
1460,GeForce 8800M GTS,382,159,196.3376,2.064800000000001,50.0,7.64,2012,0,0,1,0,0,0
1461,GeForce 9800M GTS,379,135,159.52870000000001,2.3567000000000022,75.0,5.05,2009,0,0,1,0,0,0
1462,Radeon HD 6490M,378,514,1193.03,0.32,43.445,8.764599999999998,2011,0,0,1,0,0,0
1463,Radeon HD 7520G + 8750M Dual,377,388,343.4572,1.3700000000000012,23.24,20.923899999999975,2014,0,0,0,0,1,0
1464,Radeon HD 7600G + 6400M Dual,377,257,295.8663000000002,1.5328,27.445,16.741500000000002,2013,0,0,0,0,1,0
1465,PHDGD Ivy 4,374,434,280.3909000000003,1.6183999999999998,21.54,34.703399999999974,2016,0,0,0,0,1,0
1466,Radeon HD 8570D + HD8490 Dual,374,380,299.2856000000003,1.4927999999999997,23.555,32.050799999999974,2016,0,0,0,0,1,0
1467,Intel UHD 605,370,112,778.2001000000004,0.6152000000000002,30.14,28.62779999999996,2018,0,0,0,0,1,0
1468,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369,824,575.0965999999999,0.7317000000000004,126.34,16.5773,2014,0,0,0,0,1,0
1469,Matrox Millennium P690 PCIe x16,367,295,180.6893,2.2184000000000017,64.52,5.1997000000000035,2009,0,0,0,0,1,0
1470,Mobility Radeon HD 3850,366,248,173.11659999999995,2.3145000000000016,68.08,5.231500000000004,2009,0,0,1,0,0,0
1471,Radeon HD 7620G,366,113,249.9189000000002,1.6628000000000003,47.2,7.599499999999989,2012,0,0,0,0,1,0
1472,Radeon HD4670,366,585,468.9928999999998,0.7811000000000006,52.34,8.367099999999992,2012,0,0,0,0,1,0
1473,GeForce GT 620,365,162,154.0,2.37,30.0,12.16,2012,1,0,0,0,0,0
1474,Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365,263,271.8178000000002,1.5942,28.435,16.197,2013,0,0,0,0,1,0
1475,Radeon HD 7660G + HD 8600M Dual,364,337,218.22450000000018,1.781,28.496,28.514599999999973,2016,0,0,0,0,1,0
1476,Radeon HD 8470D,362,145,249.04119999999995,1.6290999999999993,30.23,14.4097,2013,0,0,0,0,1,0
1477,Radeon HD 8450G,361,148,222.01859999999996,1.6824999999999992,33.52,11.7578,2013,0,0,0,0,1,0
1478,Radeon HD 8510G,361,105,231.1365,1.6585999999999996,34.63,11.404999999999998,2013,0,0,0,0,1,0
1479,Quadro FX 2700M,358,74,99.95,3.58,65.0,5.51,2009,0,0,0,0,0,1
1480,Radeon HD 7500G + HD 7500M/7600M Dual,356,265,260.8504000000002,1.6048999999999995,28.675,22.49809999999999,2015,0,0,0,0,1,0
1481,GeForce GT 705,355,180,296.76,1.2,29.0,12.24,2014,1,0,0,0,0,0
1482,Radeon HD 6620G,355,107,221.44760000000008,1.6493999999999993,45.0,7.9,2012,0,0,1,0,0,0
1483,Mobility Radeon HD 565v,353,318,315.1642000000003,1.3590000000000009,60.245,6.134699999999998,2011,0,0,1,0,0,0
1484,Radeon HD 6480M,353,282,279.30030000000016,1.5387999999999997,29.99,22.360399999999984,2015,0,0,0,0,1,0
1485,Radeon HD 7580D,351,430,260.3590000000001,1.6210999999999998,25.52,17.355399999999996,2013,0,0,0,0,1,0
1486,GeForce 9600 GSO,350,118,49.99,7.0,84.0,4.17,2009,1,0,0,0,0,0
1487,GeForce GT 130,347,143,151.34,2.3,75.0,4.63,2009,1,0,0,0,0,0
1488,GeForce 9600 GSO 512,345,111,141.50229999999982,2.342400000000001,90.0,3.83,2009,1,0,0,0,0,0
1489,GeForce 7950 GT,344,189,203.99,1.69,54.65,6.749199999999993,2011,1,0,0,0,0,0
1490,FireGL V5600,341,445,225.0,1.52,70.55,4.709000000000002,2009,0,0,0,0,0,1
1491,FirePro 3D V3750,341,467,50.88,6.71,48.0,7.11,2009,0,0,0,0,0,1
1492,Radeon HD 8310E,341,187,560.2394999999995,0.6910000000000001,25.145,29.031399999999977,2015,0,0,0,0,1,0
1493,Radeon HD 7660D + HD 7400 Dual,340,448,258.8788000000002,1.5391000000000004,21.02,27.737399999999976,2015,0,0,0,0,1,0
1494,Intel HD 505,339,95,811.4008000000003,0.5739000000000004,38.32,29.65119999999998,2019,0,0,0,0,1,0
1495,Radeon HD 8570D + HD 8470 Dual,338,416,267.92820000000034,1.4905000000000002,22.98,33.33809999999997,2016,0,0,0,0,1,0
1496,Radeon HD 7540D,336,125,567.9349999999995,0.6172000000000005,65.0,5.16,2012,1,0,0,0,0,0
1497,FirePro RG220,335,552,650.18,0.52,35.0,9.58,2011,0,0,0,0,0,1
